id,url,source_id,country,title,page_url,doc_types,mw_values,mw_bucket,relevance,local_path,size_bytes,fetched_at
51,https://wykaz.ekoportal.pl/dokument/561461,pl_ekoportal,PL,Wniosek o wydanie decyzji o srodowiskowych uwarunkowaniach zgody na realizacje przedsięwzięcia pn. Budowa bloku gazowo-parowegoprzez KGHM Polska Miedź SA w Polkowicach o mocy maksy [Urząd Gminy Polkowice],https://wykaz.ekoportal.pl/CardList.seam,,50,<=50 MW,0,,,2026-09-07 19:49:25
52,https://wykaz.ekoportal.pl/dokument/579507,pl_ekoportal,PL,"""Budowa bloku gazowo-parowego o mocy 400 MW na terenie Elektrowni Stalowa Wola"" - uzgodnienie warunków realizacji przedsięwzięcia. [Regionalna Dyrekcja Ochrony Środowiska w Rzeszowie]",https://wykaz.ekoportal.pl/CardList.seam,,400,>200 MW,0,,,2026-09-07 19:49:25
53,https://wykaz.ekoportal.pl/dokument/581045,pl_ekoportal,PL,wniosek o wydanie decyzji o środowiskowych uwarunkowaniach dla przedsięwzięcia polegającego na budowie układu kogeneracji w oparciu o silniki gazowe współpracującego z istniejącą k [Urząd Miasta i Gminy we Wrześni],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
54,https://wykaz.ekoportal.pl/dokument/595261,pl_ekoportal,PL,postanowienie uzgadniające realizację przedsięwzięcia - budowa gazowo-parowego bloku na terenie Elektrowni Pomorzany w Szczecinie [Regionalna Dyrekcja Ochrony Środowiska w Szczecinie],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
55,https://wykaz.ekoportal.pl/dokument/644582,pl_ekoportal,PL,umorzenie postępowania w sprawie wniosku o wydanie decyzji o środowiskowych uwarunkowaniach dla przedsięwzięcia polegającego na budowie układu kogeneracji w oparciu o silniki gazow [Urząd Miejski w Śremie],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
56,https://wykaz.ekoportal.pl/dokument/645260,pl_ekoportal,PL,budowa układu kogeneracji w oparciu o silniki gazowe w Śremie [Urząd Miejski w Śremie],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
57,https://wykaz.ekoportal.pl/dokument/650583,pl_ekoportal,PL,Postanowienie o odstąpieniu od obowiązku przeprowadzenia oceny oddziaływania na środowisko dla przedsięwzięcia polegającego na budowie układu kogeneracji w oparciu o silniki gazowe [Urząd Miasta i Gminy we Wrześni],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
58,https://wykaz.ekoportal.pl/dokument/650636,pl_ekoportal,PL,decyzja o środowiskowych uwarunkowaniach dla przedsięwzięcia polegającego na budowie układu kogeneracji w oparciu o silniki gazowe współpracującego z istniejącą kotłownią systemową [Urząd Miasta i Gminy we Wrześni],https://wykaz.ekoportal.pl/CardList.seam,permit,,,0,,,2026-09-07 19:49:25
59,https://wykaz.ekoportal.pl/dokument/656080,pl_ekoportal,PL,"postanowienie o obowiązku przeprowadzenia oceny oddziaływania na środowisko, w tym sporządzenia raportu o oddziaływaniu na środowisko dla przedsięwzięcia pn. "" Produkcja energii el [Urząd Gminy Kuryłówka]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
60,https://wykaz.ekoportal.pl/dokument/658805,pl_ekoportal,PL,"postanowienie o zawieszeniu postępowania do czasu przedłożenia raportu o oddziaływaniu na środowisko dla przedsięzięcia pn. ""Produkcja energii elektrycznej i cieplnej w skojarzeniu [Urząd Gminy Kuryłówka]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
61,https://wykaz.ekoportal.pl/dokument/681534,pl_ekoportal,PL,"Zmiana pozwolenia zintegrowanego udzielonego PGE Elektrociepłowni Lublin-Wrotków sp. z o.o. na eksploatację instalacji do spalania paliw w przemyśle energetycznym, składającej się  [Urząd Marszałkowski Województwa Lubelskiego]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
62,https://wykaz.ekoportal.pl/dokument/706971,pl_ekoportal,PL,"wprowadzanie ścieków zawierających substancje szczególnie szkodliwe dla środowiska wodnego, pochodzących z terenu Zakładu, tj. mieszaniny ścieków bytowych oraz ścieków technologicz [Urząd Marszałkowski Województwa Opolskiego]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
63,https://wykaz.ekoportal.pl/dokument/728658,pl_ekoportal,PL,"postanowienie wzywające do uzupełnienia raportu oddziaływania na środowisko dla przedsięziecia : "" Produkcja energii elektrycznej i cieplnej w skojarzeniu z biogazu powstałego po o [Urząd Gminy Kuryłówka]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
64,https://wykaz.ekoportal.pl/dokument/728668,pl_ekoportal,PL,"postanowienie wzywające do złożenia wyjaśnień do przedłożonego raportu i uzupełnienia do raportu oddziaływania na środowisko dla przdsięzięcia pn. "" Produkcja energii elektrycznej  [Urząd Gminy Kuryłówka]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
65,https://wykaz.ekoportal.pl/dokument/730530,pl_ekoportal,PL,zmiana pozwolenia Starosty Mikołowskiego z dnia 08.10.03r. znak: Ws-7644/1/8/03 wydanego dla Zakładu Produkcji Ciepła Żory Sp. z o.o. na wprowadzanie gazów i pyłow do pwietrza z ci [Starostwo Powiatowe w Mikołowie],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
66,https://wykaz.ekoportal.pl/dokument/730543,pl_ekoportal,PL,zmiana pozwolenia Starosty Mikołowskiego z dnia 08.10.03r. znak: Ws-7644/1/8/03 wydanego dla Zakładu Produkcji Ciepła Żory Sp. z o.o. na wprowadzanie gazów i pyłow do pwietrza z ci [Starostwo Powiatowe w Mikołowie],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
67,https://wykaz.ekoportal.pl/dokument/734591,pl_ekoportal,PL,Rozbudowa elektrociepłowni Piaskówka o moduł silnika gazowego do skojarzonego wytwarzania energi elektrycznej [Urząd Miasta Tarnowa],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
68,https://wykaz.ekoportal.pl/dokument/734963,pl_ekoportal,PL,"postanowienie o podjęciu zawieszonego postępowania w sprawie wydania decyzji  o środowiskowych uwarunkowaniach dla przedsięwzięcia pn. ""Produkcja energii elektrycznej i cieplnej w  [Urząd Gminy Kuryłówka]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
69,https://wykaz.ekoportal.pl/dokument/735733,pl_ekoportal,PL,wydanie decyzji o środowiskowych uwarunkowaniach dla przedsięwzięcia polegającego na budowie elektrociepłowni gazowej zlokalizowanej na działce oznaczonej w ewidencji gruntów miast [Urząd Miasta Mińsk Mazowiecki],https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
